,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
1596,2020-06-23 11:30:56+00:00,225.76452646949957,240.94710444685683,277.95080790988436,255.65983497913868,251.56168378432872,273.6324604220076,336.04744851656267,350.17111388638034,364.284933720613,407.2466845596423
1597,2020-06-24 10:39:51+00:00,226.68366087933944,,,,,,,,,
1598,2020-06-25 11:02:17+00:00,,,,,,,,,,
1599,2020-06-25 11:21:04+00:00,230.4714505456987,240.0326048053971,,270.5948240857422,278.3802056063493,292.2610215508887,,391.54006680157465,339.7103280955249,413.1612802605408
1600,2020-06-28 11:30:59+00:00,216.91207452025384,235.35906425887595,273.1167747934404,251.74731879206104,248.4489431955857,271.9714687574095,326.8284441727324,342.708459560136,362.1666973600571,393.6979965017835
1601,2020-06-30 11:21:01+00:00,218.70893029322224,229.3086129522939,263.69938484710224,240.67683331391777,235.55945488396696,254.16832595238893,313.2137079952476,332.574402209083,355.73214966534726,388.661597046384
1602,2020-07-02 11:08:31+00:00,219.66940602849422,226.69124369523337,261.99811888248956,235.98516910482437,233.8434387004718,252.64972158152213,311.5026857679719,323.47991347948874,346.0309632855726,371.499261119025
1603,2020-07-03 10:33:08+00:00,226.3104520753999,239.81718325923504,282.03975205877515,244.97888320335613,241.12821218783353,261.41442870229736,320.3439568116447,337.1772921418332,351.18157933491125,391.46578472035947
1604,2020-07-03 11:30:56+00:00,221.8081339371135,230.8634016867596,262.5864680457218,240.8967145077768,232.75088692481953,250.29065605040398,307.16275707205284,321.41344886828546,343.8589240331856,378.48437502265426
1605,2020-07-05 11:21:03+00:00,223.8490990750061,243.81426620441636,287.79994682588074,251.98357468545052,244.94257530359602,267.0170242108614,320.38233599736907,341.3296391453239,358.12410641874976,392.45572303811
1606,2020-07-08 11:30:58+00:00,217.85329567906436,235.8907281255482,276.134595210824,261.86279983249295,258.0980274196014,267.3703039202461,336.21610717819954,343.2785839953388,369.32761977918955,398.46660617509144
1607,2020-07-10 10:38:53+00:00,223.54514077414936,236.92963999319264,281.3434537963053,264.43758894012575,264.11127593484355,278.2393919471851,342.6843833654582,348.10529851455175,371.2853440586307,405.07669984861633
1608,2020-07-10 11:21:00+00:00,234.1270864027091,253.0529635880778,293.00775158969105,279.75514356508694,282.2283473979798,295.4620326929818,348.2303735674093,368.54298334336823,390.6239526491328,428.6957016746191
1609,2020-07-11 11:02:24+00:00,,,,,,,,,424.58130956613405,409.985884175628
1610,2020-07-13 11:30:55+00:00,230.66507305403388,248.67114462823525,284.83222330473404,254.25939846685333,250.49429401267557,271.9691142983909,327.34520048048057,346.3325681657359,362.5317554965371,400.6799783880795
1611,2020-07-15 11:21:03+00:00,221.38418852411982,238.96493099898265,270.18656385091987,239.52139480836783,237.24742296592746,257.4878153219839,313.4677013945311,332.25643268866827,351.4084211996261,386.19684461905024
1612,2020-07-18 11:08:37+00:00,205.47211042726295,223.38456373230514,259.779136186243,228.2672789813233,223.54267894843306,240.84209047185195,297.4397879707705,319.0431331243013,345.68254324479574,377.3125709823345
1613,2020-07-18 11:30:59+00:00,206.05942146756595,217.72200898749205,253.69772108214312,225.15525893171696,219.11775146755554,237.67092970929906,300.0992499996916,314.29462299661157,335.80312685033755,371.34259277084163
1614,2020-07-19 10:32:10+00:00,217.35991742726705,231.7264977083034,268.4872022851719,240.34064414879657,233.11534266311148,257.4536068309813,311.47942201533783,331.8128173698983,348.73940215577625,390.0287778648294
1615,2020-07-20 11:21:00+00:00,231.42909828232865,246.39507544663337,284.78906340581887,252.34608130638244,247.86542109706613,267.86272866199045,320.5486330156418,343.3270445786129,360.91577097087276,398.33334528583157
1616,2020-07-23 11:30:56+00:00,231.9502557700919,247.98150521772413,289.1719769471701,257.6408445351658,264.28005632507256,277.4546727637189,347.7584790038204,355.5113432447981,378.2254357592259,422.0083286773152
1617,2020-07-25 11:21:04+00:00,227.93032006971927,242.17336833193156,291.0147361606972,273.7659170417122,289.47804902448047,297.61402257651963,350.32032886031953,384.2807333640706,403.1716044599479,435.91829787472307
