,dates,MIRA_1,MIRA_2,MIRA_3,MIRA_4,MIRA_5,MIRA_6,MIRA_7,MIRA_8,MIRA_9,MIRA_10
1044,2020-10-16 11:30:20+00:00,139.97847978227068,149.5456637353858,101.34928428004227,171.58767798840043,157.16439721403972,254.2979341981456,116.70994697473688,184.93318497362205,230.23517710953664,290.59496187656794
1045,2020-10-26 11:30:20+00:00,,122.0782882282929,108.83370833395782,138.45571548315272,124.0805455232129,205.98996841268223,,,200.86046564213035,242.33479063555453
1046,2020-10-29 11:14:26+00:00,,,,125.80953876667766,119.90606834607402,184.89386560965923,,,163.9006881356762,222.28655847970882
1047,2020-10-29 11:40:15+00:00,,,,132.8816587323525,128.02038092323227,192.3545396683025,,,183.68768735067928,236.65131218463787
1048,2020-11-03 11:40:13+00:00,137.53432420318057,153.47793651014246,107.22724572761794,157.48195535129463,160.64899040444885,226.61637468542958,131.6841829500737,169.5705585365422,220.64832486463658,277.4054343747301
1049,2020-11-10 11:30:16+00:00,130.24350374054154,134.88900933898717,105.5516934055041,147.91959002920123,154.12779098088043,220.35460575163975,123.78337894213314,164.03010007938497,209.89416013692895,279.70149462833257
1050,2020-11-13 11:40:11+00:00,,123.0114154856459,104.74583087840568,,142.26850652896107,183.0092267430994,,160.44842602123012,204.95086385610279,275.83834235290004
1051,2020-11-20 11:30:15+00:00,153.93862873617746,160.89467232485637,117.03833478138785,172.0604065435357,177.94463102046976,227.76441285764162,136.48389126661903,173.85073476100487,230.6300132686112,304.54088232140407
1052,2020-11-21 11:20:37+00:00,154.91634164927643,157.68783837780384,117.59275162309943,175.26743295009697,178.8840785169776,233.38102820803027,130.0742496379349,176.9608997087625,230.73532772045462,307.4141212778384
1053,2020-11-22 10:35:30+00:00,141.38958203801036,128.43917729651076,95.6992226815071,144.48898254187148,160.61194720641322,202.91954537780347,119.77454804392539,170.73984473621107,205.73057210686957,273.89372232572504
1054,2020-11-23 11:40:11+00:00,142.3189671692688,145.6587855997533,98.94300148965952,160.60823870728967,163.0114573554898,216.4484659259939,126.61754374711167,161.857873591119,215.23990130109442,293.7612474012535
1055,2020-11-30 11:14:28+00:00,143.97349784975893,153.35536923791915,112.15370904949117,167.13147269851802,167.69475250987927,209.45110137050116,131.33778559102808,166.81715031623116,202.16762366194473,276.6217863743798
1056,2020-11-30 11:30:14+00:00,149.7980300878457,155.65461232179234,112.49741176248081,168.5733588971726,171.85279069615257,219.67113087234995,131.77951005677517,168.09560616071894,206.69445635975694,286.0973904256389
1057,2020-12-15 11:30:12+00:00,146.04637743787828,138.67771884209773,106.25266379819776,150.8669827549426,160.01631439638766,204.4012921842305,127.63392436904962,165.13650892800746,195.54685249100174,247.73071457645696
1058,2020-12-20 11:30:10+00:00,,,,,,,,,,
1059,2020-12-24 10:33:07+00:00,,117.16647794675639,,,142.0844378301928,164.98830207076816,124.79125263605505,,169.7637568430159,199.7751532085424
1060,2021-01-02 11:40:09+00:00,165.84381617794543,155.73648199209885,130.93183791502835,189.80253656345542,184.78188923470165,236.26963469985313,161.6577426002965,182.10218802554704,235.23961798956685,274.9663926290145
1061,2021-01-04 11:30:15+00:00,173.68534374275137,173.45424007812863,122.6194683445715,174.31738876626832,186.0750515997865,232.0560412450672,161.2727867416777,186.64313050727375,225.4328655686543,268.8092594505979
1062,2021-01-07 11:40:11+00:00,146.75050545813716,146.32724416917978,99.19849078021917,154.1935554290305,170.26981092286752,209.40843754414198,143.9069418678471,166.1881765498145,208.25008259674593,243.09789002390096
1063,2021-01-08 11:20:31+00:00,142.55932906552573,139.33120900271078,102.84695295123176,158.8280383716987,164.08800291266965,207.45478888474315,139.10161027880875,159.1569143032906,213.16400038714298,245.0097468531103
1064,2021-01-09 10:32:01+00:00,128.09545147674748,127.48921367705347,,135.91895375001022,145.70144625383801,186.83971729965953,126.03685380984717,,177.96767315466485,233.4234628661717
1065,2021-01-09 11:30:14+00:00,126.90587378106866,126.65595305519373,,132.41996631499092,154.72448469469475,192.79910437165256,129.1079424547789,,182.86976418900207,
1066,2021-01-12 11:40:10+00:00,143.32729789532112,145.21353864069144,103.5339942532735,159.1903895387617,166.9937922507238,218.47080094290936,143.2365581648344,169.82452155924523,205.99273651317486,256.44739501818157
1067,2021-01-14 11:30:15+00:00,156.61698025289246,156.05304847413294,119.79912873274544,169.25007498158277,179.49277258991737,223.51289959805575,149.20355714813812,179.9795689090251,209.56943230614053,267.7661842168
1068,2021-01-17 11:14:16+00:00,154.84771249629114,154.66130107279724,122.81796166457667,173.6624373433496,185.6233207307002,230.31262129216015,144.74550454636,176.3000785198124,204.58320377950938,261.7067887386988
1069,2021-01-17 11:40:11+00:00,160.88320037093013,161.8354456184516,132.76151265403246,179.98302486491485,192.23323185789474,237.5678285728269,154.81203360650818,189.38758306491872,216.74265947154066,275.1288161292542
1070,2021-01-22 11:40:10+00:00,126.92781235610704,127.01091319727712,,137.37293037802348,142.89798290908732,187.4826612909647,118.34968861516116,,178.7268020708309,232.68069847082668
1071,2021-02-10 10:29:42+00:00,125.07685886829566,124.81297725615929,,132.22637344337707,138.9122587840455,184.438580547833,114.69529965042045,,,250.1777113021235
1072,2021-02-13 11:30:13+00:00,,,,,,,,,,
1073,2021-02-21 11:40:08+00:00,,,,123.59319094515988,140.61138499273622,175.69220057028502,,,167.16624797445192,243.51004789362065
1074,2021-02-28 11:30:13+00:00,150.8501422723595,155.72561495559967,117.60807215030648,156.9554068068871,169.17459377433977,202.04973600825488,140.52955244286596,164.89851350987362,206.75411376152516,290.506691678447
1075,2021-03-03 11:40:09+00:00,166.81820739957027,156.03265219967955,119.07081928812016,164.25058438693776,166.57791718987204,215.82943916056018,145.61801156177438,174.162066650377,212.23227293783216,288.62313704373844
1076,2021-03-06 11:14:03+00:00,138.60860147240317,133.13463972068888,99.70891323075844,145.28031198336754,160.22453084731717,192.6120668297462,131.09764183646104,154.40575769252678,197.42191528009852,269.26714131542974
1077,2021-03-13 11:20:10+00:00,,,,,,,,,,
1078,2021-03-15 11:30:14+00:00,165.4562924398127,157.10782232025832,126.68101397258738,161.67482038714638,174.55433875984573,213.59412055647044,140.7496520342582,174.38727434385012,229.18457628947212,278.9575386238575
1079,2021-03-18 11:40:09+00:00,168.51892932408694,166.4586850029503,140.4478421656292,168.68128613422934,194.155739296009,217.2281804876033,166.58275209880856,189.22020190302592,233.53553133349573,284.5780962791943
1080,2021-03-20 11:30:14+00:00,155.75563384689906,154.74064624511692,131.8609578791316,150.2312283998433,178.11176079239954,204.301336156346,145.44186634420402,170.17976494551417,218.628625484819,272.7417663641448
1081,2021-03-22 11:13:55+00:00,157.78568462803173,160.66042017661522,133.51612153329756,154.9749909116851,180.86948804979826,210.86086741276876,149.43410586992968,176.19444328002425,224.62811546398245,279.1020375966768
1082,2021-03-23 11:40:09+00:00,151.95430948015783,161.53018559254465,134.18430397494336,159.83510235907116,182.26740347287353,205.7303106938195,144.44616884697967,178.14379461001545,222.63125020162985,279.55154289139006
1083,2021-03-28 11:40:08+00:00,139.17246583083323,141.78112187630896,124.8413698448709,139.32232475627194,156.08228834459896,185.62835543182544,132.31583604168708,163.2205159794636,203.92650685924679,265.6607328976927
1084,2021-04-04 11:30:11+00:00,147.63882479729077,165.6191415237618,145.11663813667326,163.04918650518175,172.06116468742331,211.63133886716986,150.0822970917393,163.41697627494153,212.6098322336558,268.4079597345875
1085,2021-04-07 11:13:51+00:00,137.46100172957614,146.2173562157885,127.45819238804427,143.58041739104328,152.97202411691433,199.13921501641047,135.07338901193873,159.1104991514845,193.02250180728873,251.12279549013869
1086,2021-04-07 11:40:06+00:00,137.95391565321273,146.35042977928236,132.28773615750728,145.52138135086267,156.30165272579865,199.45667906298243,,165.3774718234768,193.1539332174199,248.03645604390476
