,dates,MEIA_1,MEIA_2,MEIA_3,MEIA_4,MEIA_5,MEIA_6,MEIA_7,MEIA_8,MEIA_9,MEIA_10
98,1988-09-19 10:45:37+00:00,154.230128,127.9983713,109.2098904,112.173797,86.46275257,62.82537067,,47.93487988,68.81673263,
99,1988-09-28 10:39:21+00:00,204.8220673,174.2903764,159.6674019,146.2981549,127.0257966,100.3119119,78.93504836,71.78697639,81.27488919,
100,1988-10-14 10:39:16+00:00,,,,,,,77.32132641,77.36092377,,
101,1988-10-21 10:45:26+00:00,157.7118238,143.0906423,118.2337866,100.3220544,88.51184886,69.96097252,53.19402034,38.91732473,,
102,1988-11-15 10:39:19+00:00,177.0716398,152.1478292,134.8046004,140.356327,93.21673556,72.02926824,62.33429998,62.40295897,,
103,1988-11-22 10:45:31+00:00,151.8794466,131.9502812,114.2992216,106.7220281,79.43801019,51.50879441,34.2548755,,53.98470401,
104,1988-12-08 10:45:21+00:00,166.7176049,135.6595061,110.2883011,105.931926,86.30484822,65.39442428,,44.12287126,,
105,1988-12-17 10:39:01+00:00,156.4648312,133.7993742,110.6497599,99.61470834,84.21630041,64.47289987,44.15281305,41.39968713,63.11585262,
106,1988-12-24 10:45:13+00:00,,,,,,,123.640178,,,
107,1989-01-09 10:45:11+00:00,,,,,,,,,,
108,1989-01-18 10:38:47+00:00,146.230415,115.9836021,96.56691331,99.22057297,82.27777867,54.79614873,38.1034558,,63.31234451,
109,1989-02-03 10:38:47+00:00,149.2522586,129.7745869,106.1969773,101.026587,79.72721882,54.3159898,33.11367704,,,
110,1989-03-07 10:38:21+00:00,,,,,,,,,,
111,1989-03-23 10:37:39+00:00,210.4989264,168.0899824,147.149005,136.6622242,111.6929794,81.40025305,59.87295172,44.31879015,67.33903756,115.6053147
112,1989-03-30 10:43:53+00:00,167.7917501,163.6691162,137.3115554,130.4172301,102.7970106,80.01060701,50.93067372,40.85944613,,
113,1989-05-01 10:43:42+00:00,152.6692277,134.0281726,116.3876293,124.3150963,95.48238841,67.02827288,,40.53472871,,
114,1989-05-10 10:37:22+00:00,198.4185364,172.5525561,145.3557533,139.9704996,114.034465,91.69051942,60.56061662,45.23990893,,86.2222752
115,1989-05-17 10:43:22+00:00,154.053231,126.789431,121.6711298,107.7243659,85.42630092,68.02299824,,45.63418028,59.64252271,
116,1989-06-11 10:36:46+00:00,170.8660683,164.5573672,143.6155658,141.3775512,114.1832825,97.4879847,,56.00508036,70.37943179,
117,1989-06-27 10:36:28+00:00,178.4926023,164.4259733,150.158557,135.3038775,112.8907555,94.09272615,65.96306576,48.17171188,66.8972744,
118,1989-07-20 10:42:10+00:00,,,,,,,,,,
119,1989-08-21 10:41:29+00:00,207.1131439,165.7304569,145.8525874,129.7632399,109.033231,93.41014187,67.91991936,48.95680535,60.94243631,
120,1989-09-06 10:41:08+00:00,184.0355301,169.8169244,147.5468256,132.9712398,117.3229791,99.06538775,,53.54122772,61.96543029,71.70306048
121,1989-09-22 10:40:37+00:00,160.1570378,150.0510163,131.1072424,121.8863868,104.0167546,82.27014406,64.47740449,42.17705317,,-7.77513905
122,1989-10-01 10:34:26+00:00,,,,,,,,,,
123,1989-10-08 10:40:25+00:00,170.8072711,151.8316125,137.1774102,123.9705058,110.686607,84.70623185,58.59014058,40.43067002,52.01553064,
124,1989-10-24 10:39:43+00:00,,,,,50.85120326,28.36627026,,-15.75154011,8.625174137,
125,1989-11-02 10:33:26+00:00,193.7618217,163.1198875,133.6770159,140.0471743,119.3453369,96.75145983,64.86156177,43.40183907,65.60375364,118.2071846
126,1990-01-05 10:31:26+00:00,144.0963918,121.3255984,,,,,8.290242725,-21.57040874,37.47615808,
127,1990-01-28 10:36:58+00:00,,,,,,,62.8085341,,,
128,1990-02-22 10:30:02+00:00,129.6881988,113.2419693,105.9005707,102.5113371,76.07862972,53.0029966,46.48288471,,,
129,1990-03-01 10:35:57+00:00,181.9295785,156.7334008,136.5597346,146.0612406,110.6652338,80.99094551,84.09183683,59.03482544,,
130,1990-03-17 10:35:25+00:00,,99.33508344,85.21178053,86.21945383,59.25048503,37.59888295,24.13090925,,50.9485802,
131,1990-03-26 10:28:57+00:00,144.2511437,128.6665157,113.8859925,104.953085,95.22598534,66.04965046,46.88334419,57.64935645,86.92393669,
132,1990-04-11 10:28:56+00:00,176.0825056,159.2081376,126.8542491,119.2145944,96.60882591,71.2158694,48.02236001,46.82338482,113.1746326,
133,1990-04-18 10:35:09+00:00,149.9463699,137.2050129,109.2319357,106.2841425,84.53821631,66.71164933,38.40192872,55.51235115,95.9095361,
134,1990-05-04 10:35:03+00:00,,,74.88480292,,,,,,,
135,1990-05-29 10:28:54+00:00,147.954786,128.4205568,108.394585,104.1395755,84.67170782,56.27341428,30.23758649,,77.51687953,
136,1990-06-05 10:35:06+00:00,139.3517754,125.5963818,103.3453743,99.92803308,84.47290233,52.37839245,35.5036974,40.01260269,68.50798646,
137,1990-06-21 10:35:05+00:00,127.6159469,114.8841588,99.06179032,92.26107244,78.43778225,53.26092784,29.60904723,,,
138,1990-07-16 10:28:50+00:00,148.7830604,131.7109178,110.5297052,108.2811013,88.62588322,60.40533725,33.77680701,44.20679858,,
139,1990-07-23 10:34:58+00:00,149.0045473,119.640079,95.49205269,103.2934113,86.67849819,51.765643,26.74906937,48.8662929,,
140,1990-08-01 10:28:45+00:00,143.400105,124.6814638,101.4512969,95.65243153,84.17086833,47.47254839,26.00350406,,,
141,1990-08-08 10:34:54+00:00,176.2447564,145.09717,115.78121,112.5760429,98.023407,60.87541877,51.60552593,56.96959533,96.01442556,
142,1990-08-17 10:28:41+00:00,139.7697019,130.1033075,105.65607,98.96186946,86.74199681,52.79958,29.86061817,,,
143,1990-08-24 10:34:48+00:00,186.0591069,181.9317459,167.5408616,124.5718726,111.9599396,86.34174903,90.95371661,82.88179668,111.464418,
144,1990-09-02 10:28:34+00:00,143.0851384,125.9336363,99.07565226,98.70398131,85.12389962,51.34670545,26.31129727,39.4501555,65.98715111,
145,1990-09-25 10:34:40+00:00,163.6596903,138.3011891,108.851375,111.1182245,100.1631627,59.44140971,45.64419051,44.2447186,,
146,1990-10-04 10:28:17+00:00,,,,,,,,,,
147,1990-10-11 10:34:32+00:00,148.6220956,130.508578,97.68037413,,,51.22226905,28.27575164,49.19147013,68.92035874,
148,1990-10-27 10:34:24+00:00,150.1095345,127.9783152,105.1621051,91.39734946,82.36396199,50.79828232,39.71924964,,50.43116342,
149,1990-11-12 10:34:25+00:00,127.4466998,110.2808807,86.38012726,77.85893972,61.10544939,27.62372496,14.217935,13.25079767,47.46559353,
150,1990-12-14 10:34:16+00:00,158.7821361,133.9611168,114.706057,102.2385863,93.29291386,59.25528931,33.41472879,,78.75724805,
151,1991-01-15 10:35:10+00:00,150.6329694,130.9805905,112.7882467,101.8609171,85.61347967,63.02416747,53.22490647,56.60214819,,9.394724585
152,1991-01-24 10:29:14+00:00,149.352166,128.5395124,105.5381744,91.87874725,77.07631776,53.59857046,43.27033396,43.1988516,52.91998055,-10.25517337
153,1991-03-20 10:36:26+00:00,192.5306694,177.9785842,164.2214957,156.5372826,126.4485679,109.8775237,86.04566816,87.64866054,133.6180545,
154,1991-04-05 10:36:35+00:00,,,,130.6789316,108.2817101,83.76054284,,70.11268323,104.7286961,35.44943835
155,1991-04-21 10:36:51+00:00,,132.6090302,117.8055751,103.0145213,84.41087818,,51.7147711,55.02343067,82.97303463,35.24958284
156,1991-05-07 10:37:15+00:00,170.1829628,146.5365867,128.6700923,114.1458755,99.00814704,68.56860355,44.43246456,58.44398082,,33.95342771
157,1991-05-16 10:31:09+00:00,194.4570833,157.9147917,138.6311359,129.6521344,113.4345699,85.12631992,62.62777384,84.55277633,110.4577548,42.20319678
158,1991-06-01 10:31:26+00:00,169.6844946,152.1042417,,,,,,70.78900627,96.25668085,40.28181906
159,1991-06-08 10:37:43+00:00,149.9836059,123.6944309,102.3733629,90.96374025,71.78273485,37.89449448,30.04447994,41.67102181,,
160,1991-06-17 10:31:37+00:00,197.6918879,157.8800315,134.0643888,115.4453437,95.37709472,66.43937573,45.07066136,68.21894662,84.34634451,30.99418187
161,1991-07-03 10:31:55+00:00,,,121.4282919,,,,,,,
162,1991-07-10 10:38:09+00:00,142.6462266,124.7520572,108.5385495,100.7872904,90.87909279,53.19538623,33.87317503,49.49724019,66.41499582,12.72858454
163,1991-07-19 10:32:06+00:00,159.1075258,127.7703054,117.2218945,95.03857948,83.02528711,63.63289537,34.02718128,49.86782367,,18.17035492
164,1991-07-26 10:38:22+00:00,162.1688615,131.902002,119.2819913,105.9221564,96.60183559,65.86756919,46.58820569,70.57962828,,29.7636638
165,1991-08-04 10:32:13+00:00,152.1256898,125.4565372,109.6269708,92.94941664,79.6156437,59.61736256,32.18606664,50.38375723,,15.01152223
166,1991-08-11 10:38:26+00:00,173.9365552,133.6815314,122.3666603,100.861234,86.13160175,53.72147382,45.9443696,61.04859552,,
167,1991-08-27 10:38:35+00:00,191.77782,154.8954769,129.6501868,108.4670314,104.1404683,73.4583751,63.66849587,68.46355438,,
168,1991-09-05 10:32:32+00:00,142.8478826,120.4032054,112.7931188,,,,,,,
169,1991-09-21 10:32:42+00:00,,130.4284862,118.9855755,96.77978323,84.30711161,56.71329598,41.30480858,,,
170,1991-10-07 10:32:46+00:00,,127.5027278,108.3707687,93.83091393,85.83288202,52.77888028,50.347769,57.06583138,,26.5524253
171,1991-10-23 10:32:52+00:00,169.0078808,140.7936077,128.8403181,107.7642493,88.98694274,70.03153149,,70.11520841,84.44244291,41.60270039
172,1991-11-08 10:32:54+00:00,176.1663386,149.838512,133.1561596,109.7896093,95.5510618,67.67064965,48.75163201,64.04245229,82.13615712,
173,1991-12-01 10:39:20+00:00,,,,,,,,,,
174,1991-12-10 10:33:13+00:00,171.4979359,133.0607558,112.8147897,96.08690015,87.5290496,54.51370452,35.79567447,71.04354865,81.38066843,72.57674766
175,1991-12-17 10:39:18+00:00,141.5128965,109.9094838,93.32580838,77.10386859,62.40608997,36.0816667,22.88717388,,62.58491619,
176,1991-12-26 10:33:05+00:00,144.735298,127.970511,103.5005039,90.30675584,77.03015171,50.79603291,30.64133975,,,
177,1992-01-02 10:39:10+00:00,141.5975965,117.1289488,102.5628231,77.44877695,71.81932399,37.82580166,24.90072963,,,44.46311723
178,1992-01-18 10:39:10+00:00,140.5810475,118.3783568,108.4987827,86.08666115,70.6501668,58.28016708,29.88143113,,61.9504409,
179,1992-01-27 10:33:02+00:00,140.0779925,121.219214,103.8183658,76.17610619,71.31425467,45.08418857,40.36022983,41.98592833,,134.3766706
180,1992-02-03 10:39:12+00:00,144.4214005,122.413392,103.1999214,74.50776607,70.91955664,43.92578231,29.84733757,,,
181,1992-02-19 10:39:03+00:00,160.0486159,162.4253422,151.3874719,91.00514489,73.24717754,,44.66202987,,,
182,1992-02-28 10:32:53+00:00,141.8262427,120.4297964,,,,,,,,
183,1992-03-06 10:39:04+00:00,158.7998285,142.2526967,110.1081489,85.88559235,75.74269671,56.89193502,63.95033131,51.97234426,112.4698916,163.3864648
184,1992-03-22 10:39:05+00:00,172.2550137,163.6859076,125.4984472,99.80896954,115.8904755,98.45730701,60.45998595,60.7840998,119.5664797,190.577052
185,1992-03-31 10:32:48+00:00,,,103.1306744,76.52797727,56.77928234,37.58334215,34.65823827,29.70771784,66.44004285,
186,1992-04-16 10:32:43+00:00,162.5586031,,,154.6370706,86.51424742,61.3736325,,59.58190062,112.2355204,182.6686751
187,1992-04-23 10:38:47+00:00,161.4538816,,,,,,,,107.5899561,164.6712589
188,1992-05-02 10:32:33+00:00,160.5703963,145.6302696,132.1733226,107.5206635,94.2758577,72.96998736,61.14164439,69.22289008,123.8398232,173.5219735
189,1992-05-09 10:38:38+00:00,160.0973465,141.5824387,132.1046187,98.41368017,84.09228466,66.87954065,51.06409082,56.55126818,107.1219887,159.2706289
190,1992-06-19 10:32:01+00:00,176.155032,164.9924748,129.9269029,110.9299769,101.5835595,85.97427937,,69.93789197,113.7226908,
191,1992-06-26 10:38:09+00:00,159.1891777,136.9137009,117.2997749,91.19046898,82.81505407,54.090476,52.63571562,52.34040816,97.26423743,159.8660734
192,1992-07-05 10:31:51+00:00,179.0279606,163.0604323,132.8564046,110.8213291,102.5248871,89.69902651,65.65868621,76.80842664,123.32111,184.1277893
193,1992-07-12 10:37:57+00:00,165.3898834,155.4738826,125.9703461,91.43775173,83.74978893,73.11912826,65.37668025,67.35653264,109.5182856,166.5631611
194,1992-07-21 10:31:39+00:00,189.2326642,164.0790823,140.8701564,109.3172634,97.90532639,83.45760334,59.60640581,70.77195159,117.0317641,165.8797289
195,1992-08-06 10:31:28+00:00,156.3176161,133.3578837,113.8592775,85.25107369,73.49115297,67.34433667,38.11458168,61.04980982,107.0662295,145.407723
196,1992-08-13 10:37:31+00:00,176.242808,164.35925,134.9227496,98.72455675,91.83713261,73.47997389,47.90103719,54.98381637,113.7826214,154.6895616
197,1992-08-22 10:31:10+00:00,174.7250207,148.7231743,132.0917014,102.7902221,93.96281714,78.06131888,,66.31040361,112.0600396,162.5658467
198,1992-08-29 10:37:16+00:00,180.9687531,151.1518425,139.1136305,109.0128559,103.3575974,85.86895826,62.08752614,71.79833243,113.0453311,157.4865078
199,1992-09-07 10:30:57+00:00,158.9371284,137.9428478,126.0528142,93.87597673,85.86874168,78.76978065,52.28360471,68.90279107,108.3613027,148.5514843
200,1992-09-14 10:37:02+00:00,179.6548246,163.3911448,125.9151463,112.7367702,97.69765246,75.62333713,,64.43557407,106.8702342,161.7153481
201,1992-09-23 10:30:40+00:00,157.4706413,142.907457,124.216988,89.72103282,82.82678103,68.03514989,48.35519203,56.15284619,106.9780164,148.4024678
